text,flag,date,symbol,action,price,stop,unit,win_lose,appendix
,,,,,,,,52.63%,
,,,,,,,,,
"介入でリズムを崩してしまったので、ここ2日は、リズムを取り戻すために、軽めに取引しています。取り敢えずドル円が156円程度まで上がるというシナリオで、買いから入って利食いをするを繰り返していて、かなり中抜けになってしましました。
目標値に近づいてきましたので、一旦買い先行の取引を終えて、今後どうするかを再検討します。",,2024-05-09 15:28:00,,,,,,,
"今日はしばらく配信できないかもしれませんので事前にお伝えしておきます。
154円を割り込んで153.95を下回ってきたら決済しようと考えています。",,2024-05-07 8:16:00,,,,,,,
ドル円154.02で2 買いました,open,2024-05-07 8:13:00,ドル円,long,154.02,,2,,
ドル円ロング2 153.77で決済しました,close,2024-05-06 16:26:00,ドル円,square,153.77,,2,lose,
"ドル円153.90で2 買いました。
今日からまた出直します",open,2024-05-06 12:47:00,ドル円,long,153.90,,2,,
ドル円ロング2 153.20で決済しました。,close,2024-05-03 8:32:00,ドル円,square,153.20,,2,lose,
ドル円154.45で2 買いました。,open,2024-05-02 21:53:00,ドル円,long,154.45,,2,,
ドル円ロング4を155.50で決済しました。介入で今年の利益半分飛ばしてしまったので、一旦撤退して、立て直します。,close,2024-05-02 15:59:00,ドル円,square,155.50,,4,lose,
"ポジションはドル円ロング４のままです。介入を避けて慎重にやってきたのですが、結局引っかかってしまいました。まさか、FOMCの後にやるとは思いませんでした。
財務省の神田財務官は、明日からのADB総会に出席のため、6日までジョージアに行く予定だそうですので、その前にやったのかもしれません。
かなり苦しいですが、ポジションキープします。",,2024-05-02 9:44:00,,,,,,,
"昨日トレード報告で156.72で2 買いましたとお伝えしましたが、金額を間違えておりました。正しくは3です。申し訳ありません。そして、今157.69で更に1買いました。
現在ポジションはドル円ロング4です。",,2024-05-01 8:41:00,ドル円,long,157.69,,1,,
ドル円156.76で2 買いました,open,2024-04-30 11:39:00,ドル円,long,156.76,,3,,次の日のメッセージでunitを修正
ドル円154.80で買い注文2入れておきます。,,2024-04-29 19:12:00,ドル円,,154.80,,2,,指値買い注文
"ドル円ロング　155.75で4 一旦決済しました。
通常ならすぐ戻るはずたと考えていましたが、動かないので一旦撤退します。",close,2024-04-29 19:07:00,ドル円,square,155.75,,4,lose,
ドル円156.70で1買いました,,2024-04-29 14:58:00,ドル円,long,156.70,,1,,
ドル円157.00で1買いました,,2024-04-29 13:30:00,ドル円,long,157.00,,1,,
ドル円157.90で2 買いました,open,2024-04-29 13:13:00,ドル円,long,157.90,,2,,
ドル円159.35でロング2 決算しました,close,2024-04-29 11:26:00,ドル円,square,159.35,,2,win,
ドル円158.22で2 買いました。,open,2024-04-29 8:42:00,ドル円,long,158.22,,2,,
ドル円ショート1 を155.50で決済しました、、介入に備えてでしたが諦めました。,close,2024-04-25 13:44:00,ドル円,square,155.50,,1,lose,
ドル円がとうとう節目の155円を上に抜けました。正直、ここで介入をやらなければいつやる、という状況です。今日、明日日銀の会合があるので、明日に財務省の介入＋日銀の何らかの円安けん制声明をセットで出す可能性もありますが、いずれにしても、今日、明日でアクションがなければ、もう諦めたのかと考えざるを得ません。そうなってしまうかもしれませんが、もう1回だけ、可能性にかけてみます。ただし、メインは下で買う戦略なので、ポジションは最低限にしておきます。,,2024-04-25 7:34:00,,,,,,,
ドル円155.23で1 売りました。,open,2024-04-25 7:05:00,ドル円,short,155.23,,1,,
ユーロドショート1 を1.0682で決済しました。細かくやっていきます。,close,2024-04-24 17:38:00,ユーロドル,square,1.0682,,1,win,
ユーロドル1.0703で1 売りました,open,2024-04-24 7:18:00,ユーロドル,short,1.0703,,1,,
"為替介入に関してのご質問をいただきました。一昨年のケースを参考にすれば、1回の介入に2−3兆円は使うと考えられ、その場合4−5円程度一時的に円高になると思います。ただし、介入が終わった途端に元に戻るでしょう。

本日も鈴木財務大臣が「（為替介入の）環境は整っていると考えてもらっていい」とまで発言しているのに、一体何故財務省は動かないのか、私自身もかなり疑心暗鬼になっています。こういうときは、トレードしてもろくなことがないので、様子を見ています。",,2024-04-23 16:34:00,,,,,,,
先週イスラエルのミサイル攻撃のとき、ドル円1円程度の下落に対して、メキシコペソ円は約0.5円下落しました。介入があったときはドル円は4−5円程度瞬間的に下落すると思います。リスクオフではないので、メキシコペソ円は先週のような落ち方はしないとは思いますが、それでも一時的に8を割ることはありえます。8程度まで瞬間的に下落しても自動ロスカットにひっかからない程度のポジション金額にしておくことをお勧めします。,,2024-04-23 8:47:00,,,,,,,
"イスラエルがイランに軍事攻撃をしたことでリスクオフになり、相場が乱高下しています。私はデイトレで対応しています。1日過ぎれば影響もなくなってくると思いますが、今後深刻な状況に陥ればまた別の展開になるので注意です。
メキシコペソ円のロングを下でロスカットしてしまったが買い戻した方がいいかと言うご質問をいただきました。今回の急落は介入ではなくリスクオフでしたが、兎に角スワップ狙いの時は、急落に耐えられる程度のポジションの大きさにしておくことが鉄則です。
その上で、下がったところは金額を絞って買ってもいいとは思いますが、今後は円買い介入でまた一時的に急落する可能性もあるので、それを考慮してポジションコントロールすることをお勧めします。",,2024-04-19 12:28:00,,,,,,,
ドル円ショート154.29で決済しました。,close,2024-04-18 14:55:00,ドル円,square,154.29,,1,win,
昨日、日韓米の財務相会議が行われ、最近の円安、ウォン安を懸念する共同声明が発表されました。為替介入の最大の障害がアメリカの理解でしたので、これで介入を実施する環境は整ったと思います。その上で、逆に今日明日に介入をしなければ、当面介入はしないと考えたほうがいいと思います。あまりいいトレードとは思いませんが、もう一度だけ、介入に備えて、小さめにドル円ショートにしてみます。これでだめなら、今後は諦めることにします。,,2024-04-18 7:41:00,,,,,,,
ドル円154.33で1売ってショートにしました。,open,2024-04-18 7:21:00,ドル円,short,154.33,,1,,
"これだけ、ドル円が上に突き抜けても、日本政府は何もやりません。発言も以前よりトーンダウンしてしまっています。マーケット参加者も不思議がっています。ひょっとするとアメリカに釘を刺されているのでは？という見方も出てきています。介入資金の確保のために米国債を売らないといけない状況なのでアメリカからオッケーが出ないとの観測も出ています。こういう状況になって、トレードが非常にやりにくくなって困っています。2年前に介入で痛い目にあったので、少しトラウマになっています。
他の通貨でのトレードなど戦略を練り直します。",,2024-04-17 10:00:00,,,,,,,
ドル円152円のところに大きなノックアウトオプションがあり、その防戦売りでしばらく152円を抜けなかった時期がありました。次は155円に大きなノックアウトオプションがあるようですので、その手前は防戦売りが出ると予想されます。,,2024-04-16 15:59:00,,,,,,,
ドル円ショート153.70で決済しました。,close,2024-04-15 11:35:00,ドル円,square,153.70,,1,lose,
ドル円153.27で1 ショートにしました。もしかすると介入があるかもしれないので、念のためショートにしてみます。,open,2024-04-15 8:25:00,ドル円,short,153.27,,1,,
"今日、これからドル円が上がったら、介入はやらないのか？
というご質問をいただきました。それはあり得ます。
ただ、日米首脳会談の日に介入するのはやりづらいだろうなというのは、政治家をやっていた経験上感じます。岸田総理は現在アメリカにいますので、NY時間にやるのは余計に難しいのではないかと思ったので、東京時間にやらないのであれば、今日はなしかなと思ったということです。ただ、これもあくまでも推測です。",,2024-04-11 21:09:00,,,,,,,
"介入があった場合のメキシコペソ円のご質問がありました。
ドル円でドル売り円買い介入をすれば、全通貨に対して円高になります。そこはドル円だけではなく、メキシコペソ円を含むほとんどのクロス円で絶好の買いのチャンスとなります。今、メキシコペソ円でノーポジであれば、介入で下がったところは、ロングポジションを作るいいチャンスだと思います。",,2024-04-11 14:27:00,,,,,,,
今日は介入は無さそうなムードですのでドル円ショート1 152.85で決済しました。,close,2024-04-11 12:46:00,ドル円,square,152.85,,1,win,
"それは、２つです。
１つはひょっとすると介入があると考えて、ドル円を少しショートにしたということです。ただ、基本トレンドは上方向を見ていて、ドルロングがメイン戦略ですので、ショートのときの金額は小さくしていますし、長く持つつもりはありません。
2つ目は、もし介入があった場合は、下で買ってロングポジションを取るということです。仮に介入があった場合、できれば148円台から149台のどこかで買いたいと思って待っています。

タイミング的には今日は介入が入りやすい状況だと思っているのですが、今日は日米首脳会談が行われているので、やりづらいかもしれないとも思っています。

どちらにしても、いつ介入があるのかは予見できませんので、少し宝くじを当てるようなものになってしまうのですが、もしもに備えたポジションにしているということです。

加えて、最近、アメリカの経済指標でどちらにはねたとき、次の日になるとその流れは続かないこともよくあるので、ドル円をショートにしてもそれほどリスクがないかと考えているという点も付記しておきます。",,2024-04-11 10:00:00,,,,,,,
今日は日米首脳会談が行われている為、可能性はかなり低いですが、一応介入に備えてみます。,,,,,,,,,
ドル円152.93で1 売りました。,open,2024-04-11 8:35:00,ドル円,short,152.93,,1,,
